aspect,box_area,h,iou,poly_box_ratio,reasons,split,stem,w
1.616,0.018787,0.1743,,0.9622,touches_boundary,train,OHI_datasetgallery_-100616823_penta_upper_m_jpg.rf.d3196c122127bd6e129bd950b81ccedb,0.1078
1.645,0.018076,0.1725,,1.0,touches_boundary,train,OHI_datasetgallery_-100616823_penta_upper_m_jpg.rf.f96a1a7cea446486353cdb5dfa5caf2a,0.1048
5.107,0.006548,0.1829,,1.0,extreme_aspect,train,OHI_datasetgallery_-106765536_penta_front_m_jpg.rf.b5e5f7eaa6810b5b72c054029905fd9d,0.0358
2.135,0.027754,0.2434,,0.6283,touches_boundary,train,OHI_datasetgallery_-106765536_penta_lower_m_jpg.rf.a77225f7ca184e30b89f7c4ee510635b,0.114
1.045,0.013229,0.1176,,0.8297,touches_boundary,train,OHI_datasetgallery_-106765536_penta_upper_m_jpg.rf.39c7bd00f585c71069770864860da7cd,0.1125
1.412,0.016964,0.1548,,0.8089,touches_boundary,train,OHI_datasetgallery_-106765536_penta_upper_m_jpg.rf.39c7bd00f585c71069770864860da7cd,0.1096
1.62,0.019782,0.179,,0.7885,touches_boundary,train,OHI_datasetgallery_-106765536_penta_upper_m_jpg.rf.39c7bd00f585c71069770864860da7cd,0.1105
1.482,0.018605,0.1661,,0.8816,touches_boundary,train,OHI_datasetgallery_-112247038_penta_upper_m_jpg.rf.482ba6167c2373e85ea9137edd38371a,0.112
1.207,0.011906,0.0993,,0.8007,touches_boundary,train,OHI_datasetgallery_-112247038_penta_upper_m_jpg.rf.5ca9683bf43b1af1b653a56a86c3f403,0.1199
1.066,0.029024,0.1759,,0.838,touches_boundary,train,OHI_datasetgallery_-112247038_penta_upper_m_jpg.rf.5ca9683bf43b1af1b653a56a86c3f403,0.165
1.163,0.009402,0.0899,,0.8505,touches_boundary,train,OHI_datasetgallery_-112247038_penta_upper_m_jpg.rf.5ca9683bf43b1af1b653a56a86c3f403,0.1045
1.192,0.011674,0.118,,0.8284,touches_boundary,train,OHI_datasetgallery_-112247038_penta_upper_m_jpg.rf.5ca9683bf43b1af1b653a56a86c3f403,0.0989
1.443,0.020146,0.1705,,0.806,touches_boundary,train,OHI_datasetgallery_-112247038_penta_upper_m_jpg.rf.5ca9683bf43b1af1b653a56a86c3f403,0.1182
1.597,0.010973,0.1324,,0.9303,touches_boundary,train,OHI_datasetgallery_-118450926_penta_lower_m_jpg.rf.85db4aabce5aa9ed43ff26e5c9d0d7ca,0.0829
2.171,0.014486,0.1773,,0.9183,touches_boundary,train,OHI_datasetgallery_-118450926_penta_lower_m_jpg.rf.85db4aabce5aa9ed43ff26e5c9d0d7ca,0.0817
1.629,0.032201,0.229,,0.9318,touches_boundary,train,OHI_datasetgallery_-118450926_penta_lower_m_jpg.rf.85db4aabce5aa9ed43ff26e5c9d0d7ca,0.1406
1.652,0.013797,0.151,,0.7587,touches_boundary,train,OHI_datasetgallery_-118450926_penta_lower_m_jpg.rf.d3df7f0a7a3d100a154af5770ee9f9dc,0.0914
1.085,0.015601,0.1301,,0.8752,touches_boundary,train,OHI_datasetgallery_-118450926_penta_upper_m_jpg.rf.1de58afe503f2c6cc503f227cb26e23b,0.1199
1.464,0.017982,0.1623,,0.8557,touches_boundary,train,OHI_datasetgallery_-118450926_penta_upper_m_jpg.rf.1de58afe503f2c6cc503f227cb26e23b,0.1108
1.152,0.01655,0.1199,,0.7522,touches_boundary,train,OHI_datasetgallery_-118450926_penta_upper_m_jpg.rf.5f19d3ff27fed8c478a1834f397b55c9,0.1381
1.069,0.01888,0.1421,,0.7288,touches_boundary,train,OHI_datasetgallery_-118450926_penta_upper_m_jpg.rf.5f19d3ff27fed8c478a1834f397b55c9,0.1329
1.005,0.026695,0.163,,0.7388,touches_boundary,train,OHI_datasetgallery_-118450926_penta_upper_m_jpg.rf.5f19d3ff27fed8c478a1834f397b55c9,0.1638
2.312,0.019409,0.2118,,0.955,touches_boundary,train,OHI_datasetgallery_-127342845_penta_lower_m_jpg.rf.f0b2b445bca8b114a422d2277466d959,0.0916
2.406,0.020272,0.2208,,0.955,touches_boundary,train,OHI_datasetgallery_-127342845_penta_lower_m_jpg.rf.f0b2b445bca8b114a422d2277466d959,0.0918
1.395,0.019356,0.1643,,0.658,touches_boundary,train,OHI_datasetgallery_-137391181_penta_upper_m_jpg.rf.0a86b03f0a3d81aac6d4e21ba111d625,0.1178
1.463,0.020365,0.1726,,0.6382,touches_boundary,train,OHI_datasetgallery_-137391181_penta_upper_m_jpg.rf.0a86b03f0a3d81aac6d4e21ba111d625,0.118
1.527,0.018801,0.1695,,0.8431,touches_boundary,train,OHI_datasetgallery_-137391181_penta_upper_m_jpg.rf.144ba236ddf6b98cfa4da68dc55576c3,0.1109
1.867,0.015292,0.169,,1.0,touches_boundary,train,OHI_datasetgallery_-137391181_penta_upper_m_jpg.rf.ed8367e7b2751954b5abed93478ae57d,0.0905
2.151,0.014984,0.1795,,0.8801,touches_boundary,train,OHI_datasetgallery_-138079231_penta_lower_m_jpg.rf.95b50a472df7a790806091ef3a2c9773,0.0835
2.024,0.013589,0.1658,,0.8848,touches_boundary,train,OHI_datasetgallery_-138079231_penta_lower_m_jpg.rf.95b50a472df7a790806091ef3a2c9773,0.0819
1.823,0.015571,0.1685,,1.0,touches_boundary,train,OHI_datasetgallery_-138079231_penta_upper_m_jpg.rf.386f872dce11f07b40090bdf7e5939ae,0.0924
1.978,0.014552,0.1697,,1.0,touches_boundary,train,OHI_datasetgallery_-138079231_penta_upper_m_jpg.rf.386f872dce11f07b40090bdf7e5939ae,0.0858
1.56,0.017246,0.164,,0.8776,touches_boundary,train,OHI_datasetgallery_-138079231_penta_upper_m_jpg.rf.fbd3c07d39c138b632e598a52fa14c5c,0.1051
1.814,0.026056,0.2174,,0.8626,touches_boundary,train,OHI_datasetgallery_-138079231_penta_upper_m_jpg.rf.fbd3c07d39c138b632e598a52fa14c5c,0.1198
1.744,0.021013,0.1914,,0.7771,touches_boundary,train,OHI_datasetgallery_-150342966_penta_lower_m_jpg.rf.47399804c16a7574adef790df68b1c2a,0.1098
1.636,0.0565,0.304,,0.7783,touches_boundary,train,OHI_datasetgallery_-150342966_penta_lower_m_jpg.rf.47399804c16a7574adef790df68b1c2a,0.1858
1.882,0.025783,0.2203,,0.8845,touches_boundary,train,OHI_datasetgallery_-150342966_penta_upper_m_jpg.rf.252350aa4c1a44e14f3455979f64b91a,0.1171
1.599,0.037525,0.245,,0.9049,touches_boundary,train,OHI_datasetgallery_-150342966_penta_upper_m_jpg.rf.252350aa4c1a44e14f3455979f64b91a,0.1532
1.783,0.026588,0.2177,,0.897,touches_boundary,train,OHI_datasetgallery_-150342966_penta_upper_m_jpg.rf.252350aa4c1a44e14f3455979f64b91a,0.1221
1.751,0.022823,0.1999,,0.9312,touches_boundary,train,OHI_datasetgallery_-150342966_penta_upper_m_jpg.rf.334b04fd1832467b759e306904bbe773,0.1142
1.727,0.024577,0.206,,0.9276,touches_boundary,train,OHI_datasetgallery_-150342966_penta_upper_m_jpg.rf.334b04fd1832467b759e306904bbe773,0.1193
1.72,0.043029,0.2721,,0.9321,touches_boundary,train,OHI_datasetgallery_-150342966_penta_upper_m_jpg.rf.334b04fd1832467b759e306904bbe773,0.1582
1.353,0.016597,0.1498,,1.0,touches_boundary,train,OHI_datasetgallery_-160158513_penta_upper_m_jpg.rf.94402935138df09467891d753e7924df,0.1108
2.226,0.020062,0.2113,,1.0,touches_boundary,train,OHI_datasetgallery_-160158513_penta_upper_m_jpg.rf.94402935138df09467891d753e7924df,0.0949
1.953,0.018144,0.1883,,1.0,touches_boundary,train,OHI_datasetgallery_-160158513_penta_upper_m_jpg.rf.94402935138df09467891d753e7924df,0.0964
1.815,0.023139,0.2049,,1.0,touches_boundary,train,OHI_datasetgallery_-160158513_penta_upper_m_jpg.rf.94402935138df09467891d753e7924df,0.1129
1.435,0.020858,0.173,,0.8295,touches_boundary,train,OHI_datasetgallery_-160158513_penta_upper_m_jpg.rf.bad30191a29c655b088ac8a3ae0fb18a,0.1205
1.217,0.048085,0.1988,,0.7789,touches_boundary,train,OHI_datasetgallery_-40032188_penta_front_m_jpg.rf.dd16bfb9362109cb6a8cdc6d7842e21a,0.2419
1.831,0.01471,0.1641,,0.765,touches_boundary,train,OHI_datasetgallery_-40032188_penta_front_m_jpg.rf.dd16bfb9362109cb6a8cdc6d7842e21a,0.0896
1.39,0.050761,0.2656,,0.7944,touches_boundary,train,OHI_datasetgallery_-40032188_penta_front_m_jpg.rf.fa21a400cecd5e4ca43c73037d173357,0.1911
1.336,0.038834,0.2278,,0.8407,touches_boundary,train,OHI_datasetgallery_-40032188_penta_front_m_jpg.rf.fa21a400cecd5e4ca43c73037d173357,0.1705
1.062,0.036833,0.1863,,0.8388,touches_boundary,train,OHI_datasetgallery_-40032188_penta_front_m_jpg.rf.fa21a400cecd5e4ca43c73037d173357,0.1977
1.055,0.055104,0.2286,,0.7047,touches_boundary,train,OHI_datasetgallery_-40032188_penta_lower_m_jpg.rf.187eb51a23b4dc24a6d7029f07db1e7e,0.2411
1.163,0.054177,0.251,,0.7359,touches_boundary,train,OHI_datasetgallery_-40032188_penta_lower_m_jpg.rf.9389a0b3e5b8791325aac2caa97c5f8e,0.2159
1.142,0.051932,0.2133,,0.7553,touches_boundary,train,OHI_datasetgallery_-40032188_penta_lower_m_jpg.rf.9389a0b3e5b8791325aac2caa97c5f8e,0.2435
1.041,0.076905,0.2719,,0.8522,touches_boundary,train,OHI_datasetgallery_-40032188_penta_upper_m_jpg.rf.c54a598cdf9305f24d05c6c8bd4cd214,0.2829
1.05,0.04565,0.2085,,0.8211,touches_boundary,train,OHI_datasetgallery_-40615633_penta_lower_m_jpg.rf.5b471ec3bba8dfb241185a633a3e99cb,0.2189
1.181,0.043907,0.1928,,0.9178,touches_boundary,train,OHI_datasetgallery_-40615633_penta_upper_m_jpg.rf.a39afeba7bc12c931a34ed5ee5db5a81,0.2277
1.04,0.034478,0.1894,,0.9276,touches_boundary,train,OHI_datasetgallery_-40615633_penta_upper_m_jpg.rf.a39afeba7bc12c931a34ed5ee5db5a81,0.182
2.132,0.014316,0.1747,,0.8311,touches_boundary,train,OHI_datasetgallery_-42318742_penta_front_m_jpg.rf.8e6e5f541bd78c864e29b2e26cec54f6,0.082
1.003,0.009012,0.0948,,0.8254,touches_boundary,train,OHI_datasetgallery_-42318742_penta_front_m_jpg.rf.8e6e5f541bd78c864e29b2e26cec54f6,0.0951
2.787,0.010907,0.1744,,0.688,touches_boundary,train,OHI_datasetgallery_-42318742_penta_front_m_jpg.rf.c3ec733daeb6bbadfb761feb9c4db419,0.0626
1.075,0.058724,0.2512,,0.8858,touches_boundary,train,OHI_datasetgallery_-42318742_penta_lower_m_jpg.rf.d6a907c4213a9d01f936db5c6a6d12f6,0.2337
1.47,0.040125,0.2429,,0.8904,touches_boundary,train,OHI_datasetgallery_-42318742_penta_lower_m_jpg.rf.d6a907c4213a9d01f936db5c6a6d12f6,0.1652
5.363,0.013618,0.2702,,1.0,extreme_aspect,train,OHI_datasetgallery_-48450823_penta_front_m1_jpg.rf.961f206f0277f4a139589042e66212f5,0.0504
1.738,0.034123,0.2435,,0.6139,touches_boundary,train,OHI_datasetgallery_-48450823_penta_upper_m1_jpg.rf.03a976741748bf8f9d0373cf293fc215,0.1401
1.978,0.030682,0.2464,,0.5541,touches_boundary,train,OHI_datasetgallery_-48450823_penta_upper_m1_jpg.rf.03a976741748bf8f9d0373cf293fc215,0.1245
2.013,0.023843,0.2191,,0.8499,touches_boundary,train,OHI_datasetgallery_-48450823_penta_upper_m1_jpg.rf.e7848fe182c4c111e3ff3eed672d85f9,0.1088
2.643,0.020812,0.2345,,0.8103,touches_boundary,train,OHI_datasetgallery_-48450823_penta_upper_m1_jpg.rf.e7848fe182c4c111e3ff3eed672d85f9,0.0887
1.752,0.029894,0.2289,,0.8055,touches_boundary,train,OHI_datasetgallery_-48450823_penta_upper_m_jpg.rf.c0b91ce631a4abae8af1cd2280e5a4ae,0.1306
2.918,0.021223,0.2488,,1.0,touches_boundary,train,OHI_datasetgallery_-48450823_penta_upper_m_jpg.rf.c82fdcbe8f5829bed1016e3e3f18b8c7,0.0853
1.697,0.022068,0.1935,,0.9658,touches_boundary,train,OHI_datasetgallery_-48450823_penta_upper_m_jpg.rf.f400e043f2b5640b2d47b1504eacc7ff,0.114
2.07,0.021877,0.2128,,0.9602,touches_boundary,train,OHI_datasetgallery_-48450823_penta_upper_m_jpg.rf.f400e043f2b5640b2d47b1504eacc7ff,0.1028
2.363,0.023071,0.2335,,0.9538,touches_boundary,train,OHI_datasetgallery_-48450823_penta_upper_m_jpg.rf.f400e043f2b5640b2d47b1504eacc7ff,0.0988
5.638,0.005111,0.1698,,1.0,extreme_aspect,train,OHI_datasetgallery_-50885731_penta_front_m_jpg.rf.2340d8c1739fcb0b31b7ee1ed51ffa68,0.0301
2.106,0.014989,0.1777,,0.9205,touches_boundary,train,OHI_datasetgallery_-50885731_penta_lower_m_jpg.rf.8542a74e14cda00e6af355f32fa8d652,0.0844
2.275,0.018874,0.2072,,0.9152,touches_boundary,train,OHI_datasetgallery_-50885731_penta_lower_m_jpg.rf.8542a74e14cda00e6af355f32fa8d652,0.0911
1.418,0.021249,0.1736,,1.0,touches_boundary,train,OHI_datasetgallery_-58038273_penta_upper_m_jpg.rf.785144d4ae855ba0264c2631eeebc42a,0.1224
1.712,0.019043,0.1806,,1.0,touches_boundary,train,OHI_datasetgallery_-58038273_penta_upper_m_jpg.rf.785144d4ae855ba0264c2631eeebc42a,0.1055
1.202,0.024279,0.1709,,0.9055,touches_boundary,train,OHI_datasetgallery_-58038273_penta_upper_m_jpg.rf.7b7bbf00e0af96a08fb6f9547dad37ac,0.1421
1.39,0.021385,0.1724,,0.9135,touches_boundary,train,OHI_datasetgallery_-58038273_penta_upper_m_jpg.rf.7b7bbf00e0af96a08fb6f9547dad37ac,0.124
1.942,0.018655,0.1903,,0.8898,touches_boundary,train,OHI_datasetgallery_-58038273_penta_upper_m_jpg.rf.7b7bbf00e0af96a08fb6f9547dad37ac,0.098
1.343,0.024366,0.1809,,0.9043,touches_boundary,train,OHI_datasetgallery_-58038273_penta_upper_m_jpg.rf.f0e838655830d12647bdbfae847e703e,0.1347
1.55,0.021464,0.1824,,0.907,touches_boundary,train,OHI_datasetgallery_-58038273_penta_upper_m_jpg.rf.f0e838655830d12647bdbfae847e703e,0.1177
2.137,0.018567,0.1992,,0.8808,touches_boundary,train,OHI_datasetgallery_-58038273_penta_upper_m_jpg.rf.f0e838655830d12647bdbfae847e703e,0.0932
1.035,0.005501,0.0729,,0.9505,touches_boundary,train,OHI_datasetgallery_-76089144_penta_lower_m_jpg.rf.8b403f1fab29a51b5523447104254b09,0.0754
1.031,0.00601,0.0787,,0.9494,touches_boundary,train,OHI_datasetgallery_-76089144_penta_lower_m_jpg.rf.8b403f1fab29a51b5523447104254b09,0.0764
1.23,0.017335,0.146,,0.9452,touches_boundary,train,OHI_datasetgallery_-76089144_penta_lower_m_jpg.rf.8b403f1fab29a51b5523447104254b09,0.1187
1.312,0.004267,0.057,,0.9425,touches_boundary,train,OHI_datasetgallery_-76089144_penta_lower_m_jpg.rf.8b403f1fab29a51b5523447104254b09,0.0748
1.13,0.029758,0.1834,,0.7024,touches_boundary,train,OHI_datasetgallery_-76089144_penta_upper_m_jpg.rf.3e13135c94788145e11588adeb303e98,0.1623
1.377,0.023546,0.1801,,0.656,touches_boundary,train,OHI_datasetgallery_-76089144_penta_upper_m_jpg.rf.3e13135c94788145e11588adeb303e98,0.1308
1.442,0.02846,0.2026,,0.65,touches_boundary,train,OHI_datasetgallery_-76089144_penta_upper_m_jpg.rf.3e13135c94788145e11588adeb303e98,0.1405
1.296,0.025509,0.1818,,0.7116,touches_boundary,train,OHI_datasetgallery_-76089144_penta_upper_m_jpg.rf.cc93a0569e8663387c8c449a1fca8cce,0.1403
1.977,0.015045,0.1725,,1.0,touches_boundary,train,OHI_datasetgallery_-76089144_penta_upper_m_jpg.rf.f8d2ae41a91617349285e5854262d083,0.0872
1.951,0.011778,0.1516,,0.9252,touches_boundary,train,OHI_datasetIMG_0218_JPG.rf.367ec62756e055f56869775a2b8b414c,0.0777
2.35,0.022167,0.2282,,0.8688,touches_boundary,train,OHI_datasetIMG_0218_JPG.rf.7ac59a75dfcc95c2589feca9f00edda6,0.0971
5.209,0.000916,0.0691,,1.0,extremely_small;extreme_aspect,train,OHI_datasetIMG_0263_JPG.rf.fe4bb923422fa01463d1672f8aaf185b,0.0133
5.536,0.002966,0.1281,,1.0,extreme_aspect,train,OHI_datasetIMG_0665_JPG.rf.7bacdbce450830e609bfc5c5aa0b25a9,0.0231
5.064,0.003666,0.1363,,0.9093,extreme_aspect,train,OHI_datasetIMG_0665_JPG.rf.b903fecc9cb8c3d85ea5331f7f0b4956,0.0269
1.759,0.011295,0.0801,,1.0,touches_boundary,train,OHI_datasetIMG_1217_JPG.rf.8201917ab8329b3ea95fa19a686cc8b5,0.141
2.773,0.008587,0.0556,,1.0,touches_boundary,train,OHI_datasetIMG_1217_JPG.rf.8201917ab8329b3ea95fa19a686cc8b5,0.1543
1.126,0.027269,0.1556,,0.8134,touches_boundary,train,OHI_datasetIMG_1217_JPG.rf.8b211fac6058f379559d1e8efb177384,0.1752
1.157,0.030695,0.1884,,1.0,touches_boundary,train,OHI_datasetIMG_1217_JPG.rf.ba85b02284f1a84ae753ce02b2f0dcbf,0.1629
1.069,0.023839,0.1493,,1.0,touches_boundary,train,OHI_datasetIMG_1217_JPG.rf.ba85b02284f1a84ae753ce02b2f0dcbf,0.1596
2.439,0.015707,0.1957,,0.9198,touches_boundary,train,OHI_datasetIMG_1283_JPG.rf.1a1898504bc3d87bd5910ce335d57958,0.0802
2.108,0.028293,0.2442,,0.7718,touches_boundary,train,OHI_datasetIMG_1283_JPG.rf.8a0837cc8f25301767dc12c7b06d8296,0.1159
1.271,0.035658,0.2129,,0.8446,touches_boundary,train,OHI_datasetIMG_1286_JPG.rf.4030d4919322d70a147434d02d445560,0.1675
4.894,0.00573,0.0342,,0.8662,touches_boundary,train,OHI_datasetIMG_1286_JPG.rf.d7bd528771a6fd3e1d26ba93d0be9886,0.1675
1.347,0.021072,0.1684,,0.9135,touches_boundary,train,OHI_datasetIMG_1454a_jpg.rf.9cf75318edd89efd95933042dfed9c27,0.1251
1.982,0.065658,0.3607,,0.7292,touches_boundary,train,OHI_datasetIMG_1455a_jpg.rf.43efc7d13d2bf66a70ac39040b177b6e,0.182
2.849,0.007184,0.143,,0.6551,touches_boundary,train,OHI_datasetIMG_1455a_jpg.rf.43efc7d13d2bf66a70ac39040b177b6e,0.0502
2.511,0.007772,0.1397,,0.4068,low_polygon_to_box_ratio,train,OHI_datasetIMG_1462_JPG.rf.66b237b2e79c730ead2c267b66d911cf,0.0556
2.366,0.006877,0.1276,,0.443,low_polygon_to_box_ratio,train,OHI_datasetIMG_1462_JPG.rf.66b237b2e79c730ead2c267b66d911cf,0.0539
2.572,0.004093,0.1026,,0.3911,low_polygon_to_box_ratio,train,OHI_datasetIMG_1462_JPG.rf.66b237b2e79c730ead2c267b66d911cf,0.0399
6.047,0.002939,0.1333,,1.0,extreme_aspect,train,OHI_datasetIMG_1462_JPG.rf.ed8da0205ecca97b1fbd46509f1b68c2,0.022
5.162,0.002832,0.1209,,1.0,extreme_aspect,train,OHI_datasetIMG_1462_JPG.rf.ed8da0205ecca97b1fbd46509f1b68c2,0.0234
6.477,0.001488,0.0982,,1.0,extreme_aspect,train,OHI_datasetIMG_1462_JPG.rf.ed8da0205ecca97b1fbd46509f1b68c2,0.0152
1.041,0.030216,0.1774,,0.7193,touches_boundary,train,OHI_datasetIMG_1499_crop_jpg.rf.1bac8403b5e72b965649932cf2a6bcfd,0.1703
1.14,0.023358,0.1631,,0.687,touches_boundary,train,OHI_datasetIMG_1499_crop_jpg.rf.1bac8403b5e72b965649932cf2a6bcfd,0.1432
1.199,0.041213,0.2223,,0.678,touches_boundary,train,OHI_datasetIMG_1499_crop_jpg.rf.1bac8403b5e72b965649932cf2a6bcfd,0.1854
5.143,0.003297,0.1302,,1.0,extreme_aspect,train,OHI_datasetIMG_1518_JPG.rf.16a3482cd27073c1cfec6eacf9f86a79,0.0253
3.018,0.01059,0.1788,,0.7267,touches_boundary,train,OHI_datasetIMG_1556_JPG.rf.025d48d12dfba1c4087615fcaf12fc32,0.0592
2.367,0.011023,0.1615,,0.8585,touches_boundary,train,OHI_datasetIMG_1556_JPG.rf.59ea4d35d34bf1e9e42fe6c7228683ed,0.0682
5.366,0.005406,0.1703,,0.7623,extreme_aspect;touches_boundary,train,OHI_datasetIMG_1556_JPG.rf.59ea4d35d34bf1e9e42fe6c7228683ed,0.0317
2.155,0.025044,0.2323,,0.8281,touches_boundary,train,OHI_datasetIMG_1556_JPG.rf.59ea4d35d34bf1e9e42fe6c7228683ed,0.1078
1.071,0.031617,0.1718,,0.8655,touches_boundary,train,OHI_datasetIMG_1558_JPG.rf.4dff9dc11a8236b70e6b2bad8c5450ff,0.184
1.389,0.040569,0.2374,,0.7665,touches_boundary,train,OHI_datasetIMG_1558_JPG.rf.8c6b19da027269ddae85de89ca4b9616,0.1709
1.269,0.046553,0.2431,,0.7104,touches_boundary,train,OHI_datasetIMG_1558_JPG.rf.8c6b19da027269ddae85de89ca4b9616,0.1915
1.2,0.020704,0.1576,,0.7766,touches_boundary,train,OHI_datasetIMG_1661_JPG.rf.5b1cd8a1292a72a5b12b26693c697739,0.1313
1.084,0.017657,0.1383,,0.8368,touches_boundary,train,OHI_datasetIMG_1661_JPG.rf.75e75beb9daf4507a6b32a5ac85fb5c4,0.1276
1.028,0.035286,0.1853,,0.7901,touches_boundary,train,OHI_datasetIMG_1748_JPG.rf.19adc1235e4a297cdfb3c3392714454f,0.1904
5.053,0.013887,0.2649,,1.0,extreme_aspect,train,OHI_datasetIMG_1967_JPG.rf.688e5253984d7e66232f21f987320979,0.0524
6.6,0.003727,0.1568,,1.0,extreme_aspect,train,OHI_datasetIMG_1967_JPG.rf.688e5253984d7e66232f21f987320979,0.0238
1.743,0.01788,0.1766,,1.0,touches_boundary,train,OHI_datasetIMG_1976_JPG.rf.9ba856e533ebe903f603baeeb4f135ee,0.1013
1.616,0.020614,0.1825,,1.0,touches_boundary,train,OHI_datasetIMG_1976_JPG.rf.9ba856e533ebe903f603baeeb4f135ee,0.113
1.341,0.045509,0.247,,1.0,touches_boundary,train,OHI_datasetIMG_1976_JPG.rf.9ba856e533ebe903f603baeeb4f135ee,0.1842
1.699,0.034474,0.242,,0.7149,touches_boundary,train,OHI_datasetIMG_1976_JPG.rf.d32a0c9a21d5522aaf3a84d92f431c7d,0.1424
1.524,0.074188,0.3362,,0.7634,touches_boundary,train,OHI_datasetIMG_1976_JPG.rf.d32a0c9a21d5522aaf3a84d92f431c7d,0.2206
1.072,0.019544,0.1447,,0.8118,touches_boundary,train,OHI_datasetIMG_1976_JPG.rf.d32a0c9a21d5522aaf3a84d92f431c7d,0.135
1.005,0.046651,0.2154,,0.8057,touches_boundary,train,OHI_datasetIMG_1976_JPG.rf.d32a0c9a21d5522aaf3a84d92f431c7d,0.2166
1.883,0.021475,0.2011,,0.6725,touches_boundary,train,OHI_datasetIMG_2042_jpg.rf.fb61df1510b230b4b008b2147ff41d29,0.1068
3.987,0.007872,0.1772,,0.5139,touches_boundary,train,OHI_datasetIMG_2042_jpg.rf.fb61df1510b230b4b008b2147ff41d29,0.0444
1.355,0.047074,0.2526,,0.6543,touches_boundary,train,OHI_datasetIMG_2042_jpg.rf.fb61df1510b230b4b008b2147ff41d29,0.1864
1.769,0.046388,0.2865,,0.726,touches_boundary,train,OHI_datasetIMG_2042_jpg.rf.fb61df1510b230b4b008b2147ff41d29,0.1619
1.99,0.025545,0.2255,,0.7287,touches_boundary,train,OHI_datasetIMG_2042_jpg.rf.fb61df1510b230b4b008b2147ff41d29,0.1133
1.544,0.050847,0.2802,,0.6208,touches_boundary,train,OHI_datasetIMG_2042_jpg.rf.fb61df1510b230b4b008b2147ff41d29,0.1815
1.35,0.082758,0.3342,,0.6543,touches_boundary,train,OHI_datasetIMG_2042_jpg.rf.fb61df1510b230b4b008b2147ff41d29,0.2476
